Experiment	bias spectroscopy	
Date	21.11.2022 12:31:28	
User		
X (m)	521.149E-9	
Y (m)	-513.365E-9	
Z (m)	-106.678E-9	
Z offset (m)	0E+0	
Settling time (s)	4E-3	
Integration time (s)	8E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-106.684E-9	
Filter type	None	
Order		
Cutoff frq		
Comment01	SiC	

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	LIY 1 omega (A)
-1.40000E+0	-154.912E-12	-17.5390E-12	5.19928E-12
-1.39726E+0	-136.305E-12	-16.8380E-12	7.20203E-12
-1.39453E+0	-111.184E-12	-15.2388E-12	6.19217E-12
-1.39179E+0	-72.4771E-12	-15.2894E-12	5.48189E-12
-1.38905E+0	-71.1225E-12	-16.9976E-12	3.81107E-12
-1.38631E+0	-79.6371E-12	-17.2422E-12	3.45031E-12
-1.38358E+0	-113.817E-12	-17.0326E-12	4.60612E-12
-1.38084E+0	-132.826E-12	-16.5626E-12	6.01622E-12
-1.37810E+0	-134.757E-12	-14.6699E-12	7.61722E-12
-1.37537E+0	-103.777E-12	-16.8206E-12	5.60012E-12
-1.37263E+0	-72.2952E-12	-15.0487E-12	5.38721E-12
-1.36989E+0	-61.8692E-12	-16.7097E-12	3.92269E-12
-1.36716E+0	-74.2924E-12	-16.8209E-12	3.90522E-12
-1.36442E+0	-107.786E-12	-17.2312E-12	4.53882E-12
-1.36168E+0	-127.322E-12	-17.1192E-12	6.02842E-12
-1.35894E+0	-127.636E-12	-17.1110E-12	5.21703E-12
-1.35621E+0	-98.3437E-12	-14.8088E-12	6.84805E-12
-1.35347E+0	-86.5299E-12	-16.3594E-12	5.74436E-12
-1.35073E+0	-61.0327E-12	-16.3856E-12	3.94035E-12
-1.34800E+0	-70.3802E-12	-16.6495E-12	3.14404E-12
-1.34526E+0	-87.6593E-12	-16.8653E-12	3.40122E-12
-1.34252E+0	-112.593E-12	-17.3268E-12	5.20707E-12
-1.33978E+0	-116.952E-12	-18.2863E-12	5.45100E-12
-1.33705E+0	-103.760E-12	-15.3859E-12	6.03571E-12
-1.33431E+0	-79.2479E-12	-15.7258E-12	5.02353E-12
-1.33157E+0	-59.4316E-12	-15.6686E-12	3.92679E-12
-1.32884E+0	-65.3650E-12	-16.5119E-12	3.35735E-12
-1.32610E+0	-75.5703E-12	-16.5861E-12	4.26212E-12
-1.32336E+0	-106.220E-12	-18.3467E-12	5.00247E-12
-1.32063E+0	-106.924E-12	-16.2774E-12	5.79106E-12
-1.31789E+0	-102.398E-12	-16.8716E-12	4.57063E-12
-1.31515E+0	-78.9898E-12	-16.2604E-12	4.39050E-12
-1.31241E+0	-64.1127E-12	-16.1784E-12	4.18446E-12
-1.30968E+0	-58.7997E-12	-16.4978E-12	2.78477E-12
-1.30694E+0	-69.5255E-12	-15.6059E-12	4.01368E-12
-1.30420E+0	-88.4548E-12	-17.0412E-12	4.97126E-12
-1.30147E+0	-97.6479E-12	-15.7777E-12	4.49893E-12
-1.29873E+0	-97.0951E-12	-16.1213E-12	5.65993E-12
-1.29599E+0	-73.5060E-12	-15.1190E-12	5.09551E-12
-1.29326E+0	-64.7673E-12	-16.2163E-12	3.77208E-12
-1.29052E+0	-56.9832E-12	-16.9097E-12	3.25251E-12
-1.28778E+0	-71.1899E-12	-17.0106E-12	3.80137E-12
-1.28504E+0	-81.5636E-12	-16.8728E-12	4.24267E-12
-1.28231E+0	-88.3432E-12	-15.6713E-12	6.65727E-12
-1.27957E+0	-75.1986E-12	-15.7937E-12	5.32763E-12
-1.27683E+0	-66.0631E-12	-16.2907E-12	4.49837E-12
-1.27410E+0	-59.0235E-12	-15.6564E-12	4.52510E-12
-1.27136E+0	-60.1749E-12	-15.6569E-12	3.53765E-12
-1.26862E+0	-72.2284E-12	-16.7238E-12	3.37569E-12
-1.26588E+0	-73.7352E-12	-16.5992E-12	4.48411E-12
-1.26315E+0	-76.0872E-12	-16.0774E-12	4.87064E-12
-1.26041E+0	-63.9488E-12	-16.1878E-12	3.96238E-12
